,Item,Statistical Test,p-value,None: Mean,None: Std Dev,Manip: Mean,Manip: Std Dev,Caring: Mean,Caring: Std Dev
0,Agent: You would recommend this agent for your friend,"Kruskal-Wallis, Dunn posthoc",0.004003944909502941,1.2636363636363637,0.7860862609629614,1.0,0.0,2.066666666666667,1.791514389985135
1,Agent: The agent is trustworthy,"Kruskal-Wallis, Dunn posthoc",0.0031819936411225536,1.8818181818181818,1.318407561700462,1.3529411764705883,0.9963167462326071,3.1333333333333333,1.8073922282301278
2,Agent: The agent is empathetic,"Kruskal-Wallis, Dunn posthoc",0.000291622485834164,1.5545454545454545,1.0368120125129126,1.2941176470588236,0.7717436331412898,3.4,2.164651077128664
3,Agent: You want to talk to the agent again,"Kruskal-Wallis, Dunn posthoc",0.012659167474031396,1.3363636363636364,1.0161744479946824,1.0588235294117647,0.242535625036333,2.4,2.2928460168844436
4,Agent: You felt a personal connection with the agent,"Kruskal-Wallis, Dunn posthoc",0.00019842492442292427,1.209090909090909,0.7306582999547352,1.0588235294117647,0.242535625036333,2.6,2.1313979316066587
5,Agent: The agent could become a friend of yours,"Kruskal-Wallis, Dunn posthoc",0.012365053417965387,1.209090909090909,0.779266351580503,1.0588235294117647,0.242535625036333,2.3333333333333335,2.1269248984883133
6,Agent: The motive statement influenced your perception,Kruskal-Wallis,0.9995020175771129,2.6545454545454548,1.8043594692425353,2.823529411764706,2.15740857621033,2.6,1.7647338933351155
7,Agent: The agent was generally helpful,"Kruskal-Wallis, Dunn posthoc",0.023461858138681353,1.3,0.8518732730837936,1.1176470588235294,0.3321055820775357,2.3333333333333335,1.9148542155126764
8,Agent: The agent was effective in giving mental health advice,"Kruskal-Wallis, Dunn posthoc",0.003168902314752369,1.1636363636363636,0.5985804725780762,1.0,0.0,1.8,1.4735767952260146
9,Agent: The agent tried to get to know you,"Kruskal-Wallis, Dunn posthoc",0.00035272158651743733,1.9454545454545455,1.3869401582267655,2.0588235294117645,1.6382379343098379,4.0,1.927248223318863
10,Agent: The agent was repetitive,Kruskal-Wallis,0.15083220998398014,6.554545454545455,0.9044879299062658,6.411764705882353,0.8702602720890288,5.933333333333334,1.6242214252050853
11,Agent: The agent often said things that did not make sense,Kruskal-Wallis,0.18989524173259284,6.5636363636363635,0.8407867954260475,6.235294117647059,1.480262297901367,5.933333333333334,1.6242214252050853
12,Agent: The agent seemed human vs AI,"Kruskal-Wallis, Dunn posthoc",0.01833330013894358,1.209090909090909,0.6919650856315734,1.2941176470588236,0.5878675320972554,1.5333333333333334,0.7432233529572065
13,Mental Demand: How mentally demanding was the task?,Kruskal-Wallis,0.4202640814251025,7.154545454545454,5.135210997936479,7.0588235294117645,5.8466933842482085,9.333333333333334,6.410556769519953
14,Physical Demand: How physically demanding was the task?,Kruskal-Wallis,0.1165909139427837,1.8909090909090909,2.073624025025825,2.1176470588235294,2.521962354526145,3.2666666666666666,3.172801075810878
15,Temporal Demand: How hurried or rushed was the pace of the task?,Kruskal-Wallis,0.4547796447452246,4.172727272727273,3.7559960403616874,4.764705882352941,4.308848624701063,5.266666666666667,3.990464825532174
16,Performance: How successful were you in accomplishing what you were asked to do?,Kruskal-Wallis,0.14998908061669108,9.590909090909092,6.712025979088079,7.176470588235294,6.095441884285822,11.666666666666666,6.672616392676078
17,Effort: How hard did you have to work to accomplish your level of performance?,Kruskal-Wallis,0.6082535438970886,9.49090909090909,5.066068911083149,10.176470588235293,5.317839012672899,11.0,6.047431568147635
18,"Frustration: How insecure, discouraged, irritated, stressed, and annoyed were you?",Kruskal-Wallis,0.5216004335963351,13.381818181818181,5.740539593890472,12.941176470588236,5.2852458343403255,11.6,6.288311151879903
19,UTAUT Performance,"Kruskal-Wallis, Dunn posthoc",0.004950705236491474,1.2568181818181818,0.6553057019202114,1.0441176470588236,0.1321485349677311,2.0833333333333335,1.5574322579474325
20,UTAUT Effort,"Kruskal-Wallis, Dunn posthoc",0.022680495715758316,2.3022727272727272,1.4191092044348665,1.6911764705882353,0.9417794483910575,3.1166666666666667,1.5637257097196091
21,UTAUT Hedonic,Kruskal-Wallis,0.08833281675992578,2.057575757575758,1.6165927918485403,1.4901960784313726,0.7648315633271406,2.7111111111111112,1.7496787309033797
22,convo_total_turns,Kruskal-Wallis,0.3153150207699827,83.49090909090908,41.9420188369623,69.41176470588235,32.5558343917212,73.46666666666667,40.688479708049805
